algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,recall/ap
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=16)",bigann-10M,10,35415.382874686424,11224.3707,1000000.0,2543940.0,71.83149788331986,0,0,0.6949
buddy-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=16)",bigann-10M,10,169875.90318504357,1473.8022,1000000.0,2543940.0,14.975284618377687,0,0,0.50718
buddy-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=8)",bigann-10M,10,154360.11806184263,1477.6244,1000000.0,2543940.0,16.48055230808258,0,0,0.48211000000000004
buddy-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4,ht=92)",bigann-10M,10,294293.75320128264,186.9218,1000000.0,3001980.0,10.20062426519394,0,0,0.035570000000000004
buddy-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=16)",bigann-10M,10,109709.78972506533,2909.947,1000000.0,2543940.0,23.18790334367752,0,0,0.59578
buddy-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4,ht=98)",bigann-10M,10,288442.7695100817,186.9218,1000000.0,3001980.0,10.407541173934938,0,0,0.056220000000000006
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=64)",bigann-10M,10,34245.11487284749,11222.1776,1000000.0,2543940.0,74.28621598863602,0,0,0.72183
buddy-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4)",bigann-10M,10,269165.86448987975,186.9218,1000000.0,2543940.0,9.451198445320129,0,0,0.16999
buddy-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=32)",bigann-10M,10,102847.1944661725,2905.4794,1000000.0,2543940.0,24.73514239454269,0,0,0.60632
buddy-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=64)",bigann-10M,10,10361.806885136553,42803.5461,1000000.0,2543940.0,245.511234498024,0,0,0.7557699999999999
buddy-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=32)",bigann-10M,10,60115.7222608409,5723.8724,1000000.0,2543940.0,42.31738228082657,0,0,0.6727299999999999
buddy-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=128)",bigann-10M,10,10161.031223889146,42880.0122,1000000.0,2543940.0,250.3623838906288,0,0,0.75971
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=32)",bigann-10M,10,35089.41127849553,11235.1293,1000000.0,2543940.0,72.49879400396348,0,0,0.7155400000000001
buddy-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4,ht=104)",bigann-10M,10,291781.72913710104,186.9218,1000000.0,3001980.0,10.288444067001343,0,0,0.08616
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=128)",bigann-10M,10,18924.853832569144,21938.9641,1000000.0,2543940.0,134.42323108577727,0,0,0.7483799999999999
faiss-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=64)",bigann-10M,10,9435.641508504397,3724.4807,1000000.0,1272960.0,134.90974607849122,0,0,0.7502
faiss-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=32)",bigann-10M,10,51721.57215277598,491.8391,1000000.0,1272960.0,24.61178086853027,0,0,0.59517
faiss-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=32)",bigann-10M,10,71213.37505539265,247.7503,1000000.0,1272960.0,17.87529377746582,0,0,0.50588
faiss-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=64)",bigann-10M,10,27779.920030890833,967.4296,1000000.0,1272960.0,45.82302607727051,0,0,0.67764
faiss-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=256)",bigann-10M,10,15579.946933955694,962.4768,1000000.0,1272960.0,81.70502796936034,0,0,0.68324
faiss-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4)",bigann-10M,10,252437.76782704992,15.9984,1000000.0,1272960.0,5.042668579101563,0,0,0.1011
