algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,recall_ap
diskann-t2,DiskANN,msspacev-1B,10,1671.3978824176374,0.0,1000000.0,57416476.0,34352.368519785625,0.0,0.0,0.8958520944194296
diskann-t2,DiskANN,msspacev-1B,10,1927.5170534874853,0.0,1000000.0,57416476.0,29787.791447092783,0.0,0.0,0.8887331150225133
diskann-t2,DiskANN,msspacev-1B,10,920.2327204588696,0.0,1000000.0,57416476.0,62393.43018727866,0.0,0.0,0.9133817710465275
diskann-t2,DiskANN,msspacev-1B,10,1318.3523629092592,0.0,1000000.0,57416476.0,43551.691956842886,0.0,0.0,0.9046800382043936
diskann-t2,DiskANN,msspacev-1B,10,998.5389414925992,0.0,1000000.0,57416476.0,57500.487576553416,0.0,0.0,0.91110997407559
kota-t2,DiskANN,msspacev-1B,10,1538.8314288346342,2547.252121708282,1000000.0,57428288.0,37319.41454009083,73.47434847864648,5165.493246009005,0.9040012279983627
kota-t2,DiskANN,msspacev-1B,10,1894.0193603989806,2130.699065356802,1000000.0,57428288.0,30320.855848011273,58.47274525856188,4193.0943170964665,0.8951801064265247
kota-t2,DiskANN,msspacev-1B,10,1375.2978140778016,2810.365493246009,1000000.0,57428288.0,41756.983405451145,82.98396779915404,5785.338279437849,0.9073441124300723
kota-t2,DiskANN,msspacev-1B,10,1637.764743606222,2414.896950470733,1000000.0,57428288.0,35065.04107149582,68.6947400736799,4853.005628325829,0.9019068085686996
kota-t2,DiskANN,msspacev-1B,10,1753.873700033979,2274.3819006685767,1000000.0,57428288.0,32743.685020698696,63.63559148587802,4529.054577705007,0.8993280120070951
kota-t2,DiskANN,msspacev-1B,10,1244.4963678400923,3068.2946650293356,1000000.0,57428288.0,46145.80603370557,92.29093327875563,6388.655137126484,0.9099501978441806
kota-t2,DiskANN,msspacev-1B,10,1451.1867197104223,2681.414306180925,1000000.0,57428288.0,39573.327966686156,78.30474826033566,5475.296015827535,0.9058568699686178
kota-t2,DiskANN,msspacev-1B,10,1409.6927009906594,2748.5545094828763,1000000.0,57428288.0,40738.16084856108,80.73986901350798,5638.904489016237,0.906951835175331
kota-t2,DiskANN,msspacev-1B,10,1492.545081361286,2617.2697025515076,1000000.0,57428288.0,38476.75270727644,75.98819757129213,5325.529062627917,0.9050859598853869
kota-t2,DiskANN,msspacev-1B,10,1305.3203479806382,2940.7762586983217,1000000.0,57428288.0,43995.55104526099,87.67921953881839,6087.747373447946,0.9086164551780598
bbann,BBANN,msspacev-1B,10,1572.8887272851748,0.0,1000000.0,11882116.0,7554.327139535597,0.0,0.0,0.7522240414790559
bbann,BBANN,msspacev-1B,10,1586.0420708786974,0.0,1000000.0,11882116.0,7491.677691384997,0.0,0.0,0.7542058943921408
bbann,BBANN,msspacev-1B,10,3663.948241875583,0.0,1000000.0,11882116.0,3242.9814002824232,0.0,0.0,0.6773809523809524
bbann,BBANN,msspacev-1B,10,1673.525296401007,0.0,1000000.0,11882116.0,7100.051624886123,0.0,0.0,0.7500818665575113
bbann,BBANN,msspacev-1B,10,1919.4937400979445,0.0,1000000.0,11882116.0,6190.234305944494,0.0,0.0,0.7408104789193615
bbann,BBANN,msspacev-1B,10,1399.2127105460943,0.0,1000000.0,11882116.0,8492.001187841244,0.0,0.0,0.7602026197298404
bbann,BBANN,msspacev-1B,10,1707.5896234949255,0.0,1000000.0,11882116.0,6958.414267990725,0.0,0.0,0.747574703233729
bbann,BBANN,msspacev-1B,10,1786.3024670804327,0.0,1000000.0,11882116.0,6651.7939816879725,0.0,0.0,0.7458589166325555
bbann,BBANN,msspacev-1B,10,1477.7274685474506,0.0,1000000.0,11882116.0,8040.803363883913,0.0,0.0,0.7563787692727522
bbann,BBANN,msspacev-1B,10,1502.6549941602966,0.0,1000000.0,11882116.0,7907.414573655933,0.0,0.0,0.7577705007504434
